timestamp,request_type,position,creative_type,kv_value
2022-03-11T06:42:06.631Z, static.video, static_iphone_320x480, video, mVp5
2022-03-11T06:38:49.770Z, static.video, interstitial, static, mFSp37
2022-03-11T06:37:42.182Z, static.video, static_iphone_320x480, video, mVp7
2022-03-11T06:37:01.413Z, static.video, interstitial, static, mFSp61
2022-03-11T06:35:48.514Z, static.video, static_iphone_320x480, static, mFSp27
2022-03-11T06:35:04.447Z, static.video, interstitial, video, mVp8
2022-03-11T06:24:51.560Z, static.video, static_iphone_320x480, video, mVp8
2022-03-11T06:19:46.059Z, static.video, static_iphone_320x480, video, mFSp55
2022-03-11T06:19:20.029Z, static.video, static_iphone_320x480, video, mFSp21
2022-03-11T06:18:16.461Z, static.video, static_iphone_320x480, video, mFSp35
2022-03-11T06:14:39.062Z, static.video, static_iphone_320x480, video, mFSp44
2022-03-11T06:11:06.054Z, static.video, static_iphone_320x480, video, mFSp52
2022-03-11T06:09:49.399Z, static.video, static_iphone_320x480, static, mFSp39
2022-03-11T06:07:34.509Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T06:03:35.799Z, static.video, static_iphone_320x480, static, mFSp54
2022-03-11T05:56:00.588Z, static.video, interstitial, static, mFSp39
2022-03-11T05:52:38.671Z, static.video, static_iphone_320x480, video, mFSp24
2022-03-11T05:41:48.578Z, static.video, static_iphone_320x480, video, mFSp24
2022-03-11T05:40:52.813Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T05:36:31.027Z, static.video, static_iphone_320x480, video, mFSp27
2022-03-11T05:34:15.533Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T05:31:46.568Z, static.video, static_iphone_320x480, video, mVp21
2022-03-11T05:21:57.361Z, static.video, static_iphone_320x480, video, mFSp33
2022-03-11T05:12:05.824Z, static.video, static_iphone_320x480, video, mVp5
2022-03-11T05:08:24.759Z, static.video, static_iphone_320x480, video, mVp7
2022-03-11T05:04:02.890Z, static.video, static_iphone_320x480, video, mVp22
2022-03-11T05:02:25.998Z, static.video, static_iphone_320x480, video, mFSp37
2022-03-11T04:58:32.919Z, static.video, static_iphone_320x480, video, mFSp29
2022-03-11T04:55:33.843Z, static.video, static_iphone_320x480, video, mFSp26
2022-03-11T04:46:52.701Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T04:45:47.204Z, static.video, static_iphone_320x480, video, mFSp32
2022-03-11T04:41:35.590Z, static.video, static_iphone_320x480, static, mFSp37
2022-03-11T04:41:04.217Z, static.video, static_iphone_320x480, static, mFSp136
2022-03-11T04:36:10.596Z, static.video, static_iphone_320x480, video, mVp5
2022-03-11T04:30:56.091Z, static.video, interstitial, static, mFSp28
2022-03-11T04:24:49.589Z, static.video, static_iphone_320x480, video, mVp5
2022-03-11T04:22:31.106Z, static.video, static_iphone_320x480, video, mFSp29
2022-03-11T04:20:10.608Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T04:18:56.453Z, static.video, static_iphone_320x480, video, mFSp39
2022-03-11T04:18:42.939Z, static.video, static_iphone_320x480, video, mVp7
